latitude,longitude,cluster
45.1,-66.3,0
45.1,-66.29798994974874,0
45.1,-66.29597989949748,0
45.1,-66.29396984924622,0
45.1,-66.29195979899497,0
45.1,-66.28994974874372,0
45.1,-66.28793969849247,0
45.1,-66.28592964824121,0
45.1,-66.28391959798995,0
45.1,-66.28190954773869,0
45.1,-66.27989949748743,0
45.1,-66.27788944723618,0
45.1,-66.27587939698492,0
45.1,-66.27386934673366,0
45.1,-66.2718592964824,0
45.1,-66.26984924623116,0
45.1,-66.2678391959799,0
45.1,-66.26582914572865,0
45.1,-66.26381909547739,0
45.1,-66.26180904522613,0
45.1,-66.25979899497487,0
45.1,-66.25778894472361,0
45.1,-66.25577889447236,0
45.1,-66.2537688442211,0
45.1,-66.25175879396984,0
45.1,-66.2497487437186,0
45.1,-66.24773869346734,0
45.1,-66.24572864321608,0
45.1,-66.24371859296483,0
45.1,-66.24170854271357,0
45.1,-66.23969849246231,0
45.1,-66.23768844221105,0
45.1,-66.2356783919598,0
45.1,-66.23366834170854,0
45.1,-66.23165829145728,0
45.1,-66.22964824120604,0
45.1,-66.22763819095478,0
45.1,-66.22562814070352,0
45.1,-66.22361809045226,0
45.1,-66.221608040201,0
45.1,-66.21959798994975,0
45.1,-66.21758793969849,0
45.1,-66.21557788944723,0
45.1,-66.21356783919597,0
45.1,-66.21155778894472,0
45.1,-66.20954773869347,0
45.1,-66.20753768844222,0
45.1,-66.20552763819096,0
45.1,-66.2035175879397,0
45.1,-66.20150753768844,0
45.1,-66.19949748743718,0
45.1,-66.19748743718593,0
45.1,-66.19547738693467,0
45.1,-66.19346733668341,0
45.1,-66.19145728643215,0
45.1,-66.18944723618091,0
45.1,-66.18743718592965,0
45.1,-66.1854271356784,0
45.1,-66.18341708542714,0
45.1,-66.18140703517588,0
45.1,-66.17939698492462,0
45.1,-66.17738693467336,0
45.1,-66.1753768844221,0
45.1,-66.17336683417085,0
45.1,-66.17135678391959,0
45.1,-66.16934673366835,0
45.1,-66.16733668341709,0
45.1,-66.16532663316583,0
45.1,-66.16331658291458,0
45.1,-66.16130653266332,0
45.1,-66.15929648241206,0
45.1,-66.1572864321608,0
45.1,-66.15527638190954,0
45.1,-66.15326633165829,0
45.1,-66.15125628140703,0
45.1,-66.14924623115579,0
45.1,-66.14723618090453,0
45.1,-66.14522613065327,0
45.1,-66.14321608040201,0
45.1,-66.14120603015076,0
45.1,-66.1391959798995,0
45.1,-66.13718592964824,0
45.1,-66.13517587939698,0
45.1,-66.13316582914572,0
45.1,-66.13115577889447,0
45.1,-66.12914572864322,0
45.1,-66.12713567839197,0
45.1,-66.12512562814071,0
45.1,-66.12311557788945,0
45.1,-66.12110552763819,0
45.1,-66.11909547738694,0
